customer_id,name,phone,monthly_income,monthly_expenses,current_emi,remaining_principal,remaining_tenure_months,annual_interest_rate,savings_balance,previous_savings_balance,deal_purchase_ratio,credit_utilization,late_payment_days_last_6m
CUST-0001,Rahul Mehta,+91-9866755036,60686.33,47562.9,22453.64,806792.45,48,0.15,25693.75,60564.46,0.8257,0.763,25
CUST-0002,Neha Verma,+91-9886893497,95526.75,45813.05,19893.05,598930.03,36,0.12,139804.34,140982.74,0.3194,0.3557,0
CUST-0003,Rohan Iyer,+91-9869248434,70599.01,44665.21,18543.37,399848.06,24,0.105,99354.29,98974.63,0.165,0.2193,0
CUST-0004,Ananya Verma,+91-9836939239,98712.76,47139.96,18912.21,724911.13,48,0.115,108385.66,121224.69,0.0784,0.5345,1
CUST-0005,Meera Kapoor,+91-9846258670,47451.25,21686.46,9783.83,382130.27,48,0.105,67162.59,74579.98,0.1144,0.4327,0
CUST-0006,Rohan Sharma,+91-9862441466,44929.39,40837.72,21326.17,637484.49,36,0.125,9377.22,26044.8,0.7378,0.9178,18
CUST-0007,Rohan Sharma,+91-9844045666,51289.45,44312.72,25755.36,748245.97,36,0.145,50222.96,162445.61,0.7911,0.8483,12
CUST-0008,Karan Patel,+91-9810769598,114502.92,63967.61,20366.21,915563.76,60,0.12,413234.05,411481.78,0.1436,0.4732,0
CUST-0009,Suresh Nair,+91-9891752859,67473.64,27392.34,22165.89,657859.56,36,0.13,254406.23,287280.16,0.1567,0.4772,0
CUST-0010,Rohan Reddy,+91-9846102853,53769.44,20752.83,11696.09,354684.9,36,0.115,80617.37,85585.04,0.1733,0.4285,0
CUST-0011,Rajesh Iyer,+91-9825421040,74589.35,32075.98,25757.42,987290.04,48,0.115,95351.56,97164.6,0.3326,0.3712,0
CUST-0012,Gaurav Gupta,+91-9891121402,72940.63,47048.67,16759.2,190124.36,12,0.105,187819.13,185434.52,0.2809,0.3548,0
CUST-0013,Swati Singh,+91-9820421958,65483.07,56137.42,27984.0,807261.91,36,0.15,17666.91,50397.78,0.6806,0.9627,12
CUST-0014,Rohan Reddy,+91-9826037627,55156.41,40167.58,30294.7,873919.23,36,0.15,38517.13,162025.82,0.701,0.8141,18
CUST-0015,Meera Singh,+91-9864006163,80666.54,47106.25,22458.08,690965.78,36,0.105,154942.66,175040.4,0.3343,0.3695,2
CUST-0016,Rohan Singh,+91-9833705256,54941.72,38659.56,23256.49,988448.14,60,0.145,41901.81,116074.37,0.7965,0.867,40
CUST-0017,Amit Nair,+91-9836365210,69250.15,31510.45,19322.22,219200.56,12,0.105,128903.2,135327.57,0.3977,0.338,2
CUST-0018,Suresh Nair,+91-9876385640,84091.94,43869.73,29101.39,1105094.93,48,0.12,209838.43,207358.6,0.1055,0.4877,0
CUST-0019,Kavita Bhat,+91-9824716695,51783.78,44085.76,21838.74,791891.27,48,0.145,22165.96,62206.03,0.8791,0.7814,40
CUST-0020,Pooja Reddy,+91-9868114585,82725.72,48765.86,23162.6,879575.77,48,0.12,217294.33,222752.02,0.7425,0.3671,1
CUST-0021,Divya Chatterjee,+91-9881531065,55982.49,37015.87,28804.12,836818.68,36,0.145,13272.5,43873.67,0.8579,0.7996,40
CUST-0022,Rahul Mehta,+91-9897753580,74965.24,51838.91,28228.09,814303.3,36,0.15,53779.09,113079.61,0.7577,0.8497,12
